state,n_total_estimated,n_total_reported,n_arrestees,n_offenders,n_forensic,fam_search,collection_statute,n_total_estimated_comment,total_method
Alabama,360000,360000,NA,NA,NA,unspecified,Ala. Code Sec.36-18-25,Total only reported (no breakdown available),Unknown
Alaska,79146,79146,52149,26997,3866,unspecified,AK Stat Sec.44.41.035 (2014),Used reported total (matches offenders + arrestees),Offenders + Arrestees
Arizona,NA,NA,NA,NA,NA,unspecified,AZ Rev Stat Sec.13-610 (2016),,Unknown
Arkansas,12221,12221,NA,NA,NA,permitted,AR Code Sec.12-12-1109 & Sec.12-12-1006,Total only reported (no breakdown available),Unknown
California,3365402,3365402,NA,NA,167053,permitted,CA Penal Code Sec.296,Total only reported (forensic reported separately),Unknown
Colorado,499170,499170,NA,NA,NA,permitted,CO Rev Stat Sec.16-23-103 (2016),Total only reported (no breakdown available),Unknown
Connecticut,127940,127940,NA,127940,23200,unspecified,CT Gen Stat Sec.54-102g (2012),Used reported total (matches offenders only),Offenders only
Delaware,NA,NA,0,NA,NA,unspecified,29 DE Code Sec.4713 (2017),,Unknown
Florida,1713890,1713890,NA,NA,NA,permitted,FL Stat Sec.943.325 (2016),Total only reported (no breakdown available),Unknown
Georgia,347145,347145,NA,324864,22281,unspecified,GA Code Sec.35-3-160 (2014),Total with discrepancy (calculation unclear),Unknown
Hawaii,NA,NA,0,NA,NA,unspecified,"HI Rev Stat Sec.844D-31, 39 (2011)",,Unknown
Idaho,39000,39000,0,39000,NA,unspecified,ID Code Sec.19-5506 (2016),Used reported total (matches offenders only),Offenders only
Illinois,689297,689297,NA,689297,69927,unspecified,730 ILCS Sec.5/5-4-3 (2013),Used reported total (matches offenders only),Offenders only
Indiana,449000,449000,144000,304000,22400,unspecified,IN Code Sec.10-13-6-10 (2017),Total with discrepancy (calculation unclear),Unknown
Iowa,NA,NA,0,NA,NA,unspecified,IA Code Sec.81.2 (2016),,Unknown
Kansas,NA,NA,NA,NA,NA,unspecified,KS Stat Sec.21-2511 (2013),,Unknown
Kentucky,NA,NA,0,NA,NA,unspecified,KY Rev Stat Sec.17.170 (1996),,Unknown
Louisiana,699618,699618,NA,NA,NA,unspecified,LA Rev Stat Sec.15:609 (2011),Total only reported (no breakdown available),Unknown
Maine,NA,NA,0,NA,NA,unspecified,25 ME Rev Stat Sec.1574 (2017),,Unknown
Maryland,147803,NA,5525,142278,NA,prohibited,MD Public Safety Code Sec.2-504 (2009),Calculated from offenders + arrestees (no total reported),Unknown
Massachusetts,NA,NA,0,NA,NA,unspecified,MA Code ch.22E Sec.3 (2006),,Unknown
Michigan,NA,NA,NA,NA,NA,permitted,Mich. Comp. Laws Sec.750.250m (2006),,Unknown
Minnesota,180000,180000,NA,180000,NA,unspecified,MN Stat Sec.299C.105 (2016),Used reported total (matches offenders only),Offenders only
Mississippi,118000,118000,NA,NA,NA,unspecified,MS Code Sec.47-5-183 (2013),Total only reported (no breakdown available),Unknown
Missouri,400000,400000,NA,386000,NA,unspecified,MO Rev Stat Sec.650.055 (2011),Total with discrepancy (calculation unclear),Unknown
Montana,32284,32284,0,32284,878,permitted,MT Code Sec.44-6-103 (2017),Used reported total (matches offenders only),Offenders only
Nebraska,NA,NA,0,NA,NA,unspecified,NE Code Sec.29-4106 (2017),,Unknown
Nevada,245000,245000,NA,NA,NA,unspecified,NV Rev Stat Sec.176.09123 (2013),Total only reported (no breakdown available),Unknown
New Hampshire,NA,NA,0,NA,NA,unspecified,NH Rev Stat Sec.651-C:2 (2015),,Unknown
New Jersey,32696,32696,NA,NA,NA,unspecified,NJ Rev Stat Sec.53:1-20.20 (2016),Total only reported (no breakdown available),Unknown
New Mexico,NA,NA,NA,NA,NA,unspecified,NM Stat Sec.29-16-6 (1996); Sec.29-3-10 (2016),,Unknown
New York,NA,NA,0,NA,NA,permitted,NY Exec L Sec.995-C (2014),,Unknown
North Carolina,350000,350000,50000,300000,NA,unspecified,NC Gen Stat Sec.15A-266.4 (2013),Used reported total (matches offenders + arrestees),Offenders + Arrestees
North Dakota,NA,NA,NA,NA,NA,unspecified,ND Century Code Sec.31-13-03 (2013),,Unknown
Ohio,NA,NA,NA,NA,NA,unspecified,Ohio Rev Code Sec.2901.07 (2015),,Unknown
Oklahoma,NA,NA,NA,NA,NA,unspecified,OK Stat Sec.74-150.27a (2015),,Unknown
Oregon,NA,NA,0,NA,NA,unspecified,OR Rev Stat Sec.137.076 (2011),,Unknown
Pennsylvania,NA,NA,0,NA,NA,unspecified,44 PA Cons Stat Sec.2316 (2017),,Unknown
Rhode Island,27818,27818,484,27334,1798,unspecified,RI Gen L Sec.12-1.5-8 (2014),Used reported total (matches offenders + arrestees),Offenders + Arrestees
South Carolina,175629,175629,NA,NA,11127,unspecified,SC Code Sec.23-3-620 (2012),Total only reported (forensic reported separately),Unknown
South Dakota,56200,56200,NA,NA,NA,unspecified,SD Codified L Sec.23-5A-6; Sec.23-5A-5.2 (2013),Total only reported (no breakdown available),Unknown
Tennessee,518614,518614,226569,292045,NA,unspecified,TN Code Sec.40-35-321 (2010),Used reported total (matches offenders + arrestees),Offenders + Arrestees
Texas,1308774,1308774,NA,1308774,NA,permitted,TX Govâ€™t Code Sec.411.1471,Used reported total (matches offenders only),Offenders only
Utah,NA,NA,NA,NA,NA,permitted,UT Code Sec.53-10-404 (2006),,Unknown
Vermont,NA,NA,0,NA,NA,unspecified,20 V.S.A. Sec.1932 (2017),,Unknown
Virginia,520131,520131,NA,NA,NA,permitted,VA Code Sec.19.2-310.2 (2006),Total only reported (no breakdown available),Unknown
Washington,272000,272000,0,272000,8800,unspecified,WA Rev Code Sec.43.43.754 (2005),Used reported total (matches offenders only),Offenders only
West Virginia,47444,47444,0,47444,3905,unspecified,WV Code Sec.15-2B-6 (2012),Used reported total (matches offenders only),Offenders only
Wisconsin,NA,NA,NA,NA,NA,permitted,WI Code Sec.973.047 (2011),,Unknown
Wyoming,NA,NA,0,NA,NA,permitted,WY Stat Sec.7-19-403 (1997),,Unknown
